system:index,IDDIST,mean
00000000000000000132,010103,16.689739763866577
000000000000000001fd,010110,10.658517657940846
0000000000000000022d,010109,11.897712542202852
00000000000000000237,010118,14.095703525989206
0000000000000000023a,010101,13.885767697400802
00000000000000000248,010112,11.631499236576817
00000000000000000250,010108,15.210017843292611
00000000000000000256,010105,14.770497321635235
00000000000000000261,010102,13.849675951911395
00000000000000000262,010116,12.523513488785097
000000000000000002ab,010104,13.279189259514743
00000000000000000345,010107,11.77420462726149
00000000000000000346,010117,13.48390654492683
0000000000000000058a,010106,16.610362379132276
00000000000000000612,010111,12.439669451867415
00000000000000000642,010114,13.594393549586856
00000000000000000644,010121,15.010715811869998
00000000000000000656,010119,12.266275344916727
00000000000000000665,010120,13.234607973285527
00000000000000000667,010115,12.1172485667186
0000000000000000066f,010113,12.056141092486369
00000000000000000234,010206,22.794433235459607
00000000000000000350,010201,23.5044144570933
00000000000000000636,010204,23.333721710635587
0000000000000000063a,010203,21.954375660125603
0000000000000000064a,010202,20.3779633451312
00000000000000000698,010205,20.835387803358277
00000000000000000257,010303,13.736928386304278
0000000000000000025f,010309,14.497572799560135
00000000000000000347,010311,14.542106061347592
0000000000000000034b,010304,14.111483668377458
0000000000000000062d,010306,15.330203985200917
0000000000000000064c,010312,16.209465989184125
00000000000000000657,010307,15.28830028947174
00000000000000000659,010308,13.373816705315733
0000000000000000065c,010305,14.657992693604427
0000000000000000065d,010310,16.434627252937958
0000000000000000065e,010302,12.682560669857628
0000000000000000065f,010301,14.324542155848695
00000000000000000265,010401,22.947777871082142
00000000000000000699,010402,20.59191653224381
0000000000000000069a,010403,22.817752541859203
0000000000000000013c,010515,17.072834099376685
0000000000000000013d,010504,12.902489654090713
0000000000000000014a,010514,16.028054015923548
00000000000000000187,010501,13.008303747514994
00000000000000000207,010520,13.102204526969604
00000000000000000208,010518,14.360843060399302
0000000000000000023c,010508,12.394439996784683
00000000000000000249,010507,13.868012547042373
0000000000000000024f,010506,12.900171160947941
00000000000000000269,010517,12.994341292706459
000000000000000002ac,010510,13.146229360739378
000000000000000002ad,010505,14.991874268927207
00000000000000000344,010516,13.035367894053778
00000000000000000352,010511,13.628732295875507
00000000000000000353,010519,12.050358778067475
00000000000000000622,010509,12.438226894101787
00000000000000000627,010502,18.256397654653835
0000000000000000063f,010523,12.907017886487852
00000000000000000641,010512,17.572017500338596
00000000000000000652,010522,11.797830012277204
00000000000000000664,010513,16.37472557335612
00000000000000000673,010503,17.04140312088418
00000000000000000674,010521,13.459215680196195
