system:time_start,temperature_2m
"Jan 1, 2019",23.242
"Jan 2, 2019",23.691
"Jan 3, 2019",23.348
"Jan 4, 2019",22.434
"Jan 5, 2019",23.367
"Jan 6, 2019",23.379
"Jan 7, 2019",23.124
"Jan 8, 2019",22.705
"Jan 9, 2019",22.708
"Jan 10, 2019",22.036
"Jan 11, 2019",21.56
"Jan 12, 2019",22.048
"Jan 13, 2019",22.724
"Jan 14, 2019",22.495
"Jan 15, 2019",22.603
"Jan 16, 2019",22.472
"Jan 17, 2019",22.985
"Jan 18, 2019",22.799
"Jan 19, 2019",22.859
"Jan 20, 2019",23.47
"Jan 21, 2019",24.151
"Jan 22, 2019",23.892
"Jan 23, 2019",23.618
"Jan 24, 2019",24.276
"Jan 25, 2019",23.658
"Jan 26, 2019",23.992
"Jan 27, 2019",25.138
"Jan 28, 2019",23.75
"Jan 29, 2019",22.906
"Jan 30, 2019",22.213
"Jan 31, 2019",21.59
"Feb 1, 2019",21.781
"Feb 2, 2019",21.61
"Feb 3, 2019",21.908
"Feb 4, 2019",22.783
"Feb 5, 2019",23.394
"Feb 6, 2019",23.78
"Feb 7, 2019",23.324
"Feb 8, 2019",24.006
"Feb 9, 2019",24.076
"Feb 10, 2019",23.637
"Feb 11, 2019",24.016
"Feb 12, 2019",22.912
"Feb 13, 2019",22.818
"Feb 14, 2019",22.815
"Feb 15, 2019",22.897
"Feb 16, 2019",22.752
"Feb 17, 2019",22.414
"Feb 18, 2019",22.21
"Feb 19, 2019",24.005
"Feb 20, 2019",23.672
"Feb 21, 2019",23.68
"Feb 22, 2019",24.732
"Feb 23, 2019",24.604
"Feb 24, 2019",23.407
"Feb 25, 2019",22.786
"Feb 26, 2019",22.275
"Feb 27, 2019",22.923
"Feb 28, 2019",21.459
"Mar 1, 2019",22.621
"Mar 2, 2019",23.875
"Mar 3, 2019",23.791
"Mar 4, 2019",23.38
"Mar 5, 2019",23.889
"Mar 6, 2019",23.25
"Mar 7, 2019",24.224
"Mar 8, 2019",24.128
"Mar 9, 2019",23.192
"Mar 10, 2019",22.623
"Mar 11, 2019",23.697
"Mar 12, 2019",23.65
"Mar 13, 2019",22.891
"Mar 14, 2019",23.793
"Mar 15, 2019",23.367
"Mar 16, 2019",24.121
"Mar 17, 2019",23.916
"Mar 18, 2019",24.004
"Mar 19, 2019",23.866
"Mar 20, 2019",23.687
"Mar 21, 2019",22.532
"Mar 22, 2019",21.557
"Mar 23, 2019",22.709
"Mar 24, 2019",23.645
"Mar 25, 2019",23.311
"Mar 26, 2019",23.145
"Mar 27, 2019",22.924
"Mar 28, 2019",23.729
"Mar 29, 2019",23.602
"Mar 30, 2019",23.428
"Mar 31, 2019",24.253
"Apr 1, 2019",24.396
"Apr 2, 2019",23.77
"Apr 3, 2019",23.397
"Apr 4, 2019",23.416
"Apr 5, 2019",23.716
"Apr 6, 2019",19.857
"Apr 7, 2019",20.567
"Apr 8, 2019",22.297
"Apr 9, 2019",22.682
"Apr 10, 2019",23.056
"Apr 11, 2019",23.014
"Apr 12, 2019",22.921
"Apr 13, 2019",22.715
"Apr 14, 2019",23.676
"Apr 15, 2019",24.537
"Apr 16, 2019",23.712
"Apr 17, 2019",23.447
"Apr 18, 2019",24.767
"Apr 19, 2019",23.883
"Apr 20, 2019",23.907
"Apr 21, 2019",24.018
"Apr 22, 2019",24.047
"Apr 23, 2019",23.473
"Apr 24, 2019",22.69
"Apr 25, 2019",23.253
"Apr 26, 2019",23.837
"Apr 27, 2019",23.571
"Apr 28, 2019",22.705
"Apr 29, 2019",23.227
"Apr 30, 2019",23.147
"May 1, 2019",23.26
"May 2, 2019",23.427
"May 3, 2019",22.929
"May 4, 2019",22.605
"May 5, 2019",23.48
"May 6, 2019",24.396
"May 7, 2019",24.283
"May 8, 2019",24.355
"May 9, 2019",23.998
"May 10, 2019",23.896
"May 11, 2019",23.034
"May 12, 2019",21.609
"May 13, 2019",19.025
"May 14, 2019",19.517
"May 15, 2019",20.616
"May 16, 2019",20.224
"May 17, 2019",19.648
"May 18, 2019",20.244
"May 19, 2019",20.941
"May 20, 2019",21.392
"May 21, 2019",22.354
"May 22, 2019",22.266
"May 23, 2019",21.537
"May 24, 2019",19.208
"May 25, 2019",19.44
"May 26, 2019",21.459
"May 27, 2019",22.424
"May 28, 2019",23.132
"May 29, 2019",23.035
"May 30, 2019",22.942
"May 31, 2019",23.303
"Jun 1, 2019",22.901
"Jun 2, 2019",22.353
"Jun 3, 2019",20.821
"Jun 4, 2019",21.375
"Jun 5, 2019",21.52
"Jun 6, 2019",21.779
"Jun 7, 2019",22.202
"Jun 8, 2019",21.762
"Jun 9, 2019",22.211
"Jun 10, 2019",22.191
"Jun 11, 2019",22.462
"Jun 12, 2019",22.572
"Jun 13, 2019",22.911
"Jun 14, 2019",22.643
"Jun 15, 2019",21.531
"Jun 16, 2019",21.592
"Jun 17, 2019",22.569
"Jun 18, 2019",22.024
